cov_set,n_cov,trim,ate_ipw,se_ipw,n_used
all,5,0.0,2.0218927466498284,0.07001541741758191,1000
all,5,0.01,2.0218927466498284,0.07001541741758191,1000
all,5,0.05,2.0218927466498284,0.07001541741758191,1000
all,5,0.1,2.0218927466498284,0.07001541741758191,1000
top_k,5,0.0,2.0218927466498284,0.07001541741758191,1000
top_k,5,0.01,2.0218927466498284,0.07001541741758191,1000
top_k,5,0.05,2.0218927466498284,0.07001541741758191,1000
top_k,5,0.1,2.0218927466498284,0.07001541741758191,1000
none,0,0.0,2.1873257549410514,0.06614875817601348,1000
none,0,0.01,2.1873257549410514,0.06614875817601348,1000
none,0,0.05,2.1873257549410514,0.06614875817601348,1000
none,0,0.1,2.1873257549410514,0.06614875817601348,1000
